order_id,customer_id,product_code_orders,order_date,amount,currency,order_status,shipping_address,payment_method,full_name,email,registration_date,birth_date,state,phone_number,customer_segment,event_id,session_id,event_type,event_timestamp,page_url,user_agent,metadata_page,metadata_duration,metadata_referrer,product_code_events
1001,64,P002,2023-10-09,263.40,EUR,pending,Rua 105 -  Bairro Fernandes -  Cidade X,paypal,Juliana Oliveira,juliana.oliveira@exemplo.com,2023-04-01,1995-06-20,BA,(55) 2552-8886,A,1,e8bb52fd-4ccc-432d-8817-cec02ca4de67,logout,2024-03-23 00:21:17,/search,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),/checkout,11,instagram.com,
1002,15,P011,2023-05-30,"2.903,81",BRL,cancelled,Rua 80 -  Bairro Costa -  Cidade X,pix,Renata Rocha,renata.rocha@exemplo.com,2020-07-18,1987-05-19,BA,(33) 5630-8996,C,2,e8c7d9eb-1f16-43b7-ba2c-76592c695b7a,logout,2024-04-12 22:12:23,/product/P001,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/search,379,facebook.com,P001
1003,67,P021,2024-02-04,784.60,EUR,pending,Rua 100 -  Bairro Moreira -  Cidade X,credit_card,Renata Lima,,2021-11-26,1997-02-02,RS,(16) 3286-4769,D,3,ca78a8d8-f69a-4c10-9ee0-60964e4319b3,click,2024-03-11 19:34:37,/profile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/help,126,facebook.com,
1004,45,P001,2023-09-30,"3,279.40",EUR,delivered,Rua 10 -  Bairro Moreira -  Cidade X,pix,Diego Almeida,diego.almeida@exemplo.com,2023-05-11,1990-08-05,SP,(50) 1067-7972,D,4,874cb88d-740d-4af6-b732-f25fbeda2574,click,2023-07-06 00:19:55,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),/product/P001,100,google.com,
1005,6,P021,2025-10-01,"4.518,95",BRL,shipped,Rua 187 -  Bairro Oliveira -  Cidade X,credit_card,Tatiana Almeida,tatiana.almeida@exemplo.com,2020-05-11,1994-09-10,RS,(55) 3451-7636,A,5,3576cd0a-d3cf-4396-ae8c-98cb3958fd44,click,2023-11-11 21:36:38,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),/profile,430,instagram.com,
1006,61,P021,2025-09-03,652.68,USD,cancelled,Rua 12 -  Bairro Ribeiro -  Cidade X,paypal,Mariana Rocha,,2022-03-14,1982-12-26,SP,(47) 6719-5704,B,6,900302c4-a8f7-4deb-a93a-eaae8826c049,view,2023-06-14 10:37:39,/checkout,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),/home,542,instagram.com,
1007,56,P002,2024-12-29,"2.618,18",BRL,pending,Rua 159 -  Bairro Almeida -  Cidade X,paypal,Samuel Araujo,samuel.araujo@exemplo.com,2019-10-01,2000-08-13,RJ,(47) 8577-2020,B,7,27c72e22-a1cd-430b-b473-7af6718153ac,view,2024-04-09 12:19:52,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),/search,467,facebook.com,
1008,75,P010,2023-02-27,"3.726,89",BRL,cancelled,Rua 33 -  Bairro Cardoso -  Cidade X,credit_card,Eduardo Araujo,eduardo.araujo@exemplo.com,2020-04-06,1996-12-13,RJ,(24) 4957-7570,A,8,2c1cb8de-493f-4f0c-a174-5712466f5b8b,logout,2023-06-17 00:12:59,/product/P001,Mozilla/5.0 (Linux; Android 10; SM-G973F),/profile,232,google.com,P001
1009,49,P001,2024-10-26,238.42,USD,pending,Rua 6 -  Bairro Dias -  Cidade X,pix,Gustavo Cardoso,gustavo.cardoso@exemplo.com,2019-01-06,2002-08-06,RS,(22) 5662-1318,B,9,c7bae351-2257-4c10-bc22-4db11f486657,view,2023-05-30 09:17:48,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/checkout,33,facebook.com,
1010,28,P001,2024-12-18,"1.700,72",BRL,cancelled,Rua 135 -  Bairro Rocha -  Cidade X,paypal,Ana Souza,ana.souza@exemplo.com,2023-02-07,1982-05-04,BA,(75) 8804-2750,A,10,35c76b03-d0ad-4a1d-9fb1-246782019273,purchase,2023-02-26 06:37:24,/checkout,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/profile,479,facebook.com,
1011,13,P010,2023-04-23,"1,517.69",USD,delivered,Rua 10 -  Bairro Cardoso -  Cidade X,pix,Ana Rocha,ana.rocha@exemplo.com,2022-03-10,1989-11-13,BA,(25) 1909-9407,B,11,ef522386-94be-4ab7-a7fc-a2df8c5b3f7b,view,2023-10-12 03:55:38,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),/home,323,instagram.com,
1012,48,P030,2024-11-29,"2,851.14",USD,delivered,Rua 39 -  Bairro Silva -  Cidade X,credit_card,Gustavo Almeida,gustavo.almeida@exemplo.com,2020-07-03,1967-11-24,BA,(67) 1680-6673,A,12,122744a8-e6eb-4f59-aeff-d78005b1f890,signup,2024-02-22 03:20:07,/home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/home,128,instagram.com,
1013,42,P001,2023-06-10,"1,078.52",USD,pending,Rua 159 -  Bairro Fernandes -  Cidade X,paypal,Bruno Lima,bruno.lima@exemplo.com,2019-03-11,1980-10-12,SP,(38) 3050-4035,C,13,160987b8-e75e-4b88-a1a4-f2f194b7d2f0,view,2024-01-29 16:06:39,/help,Mozilla/5.0 (Linux; Android 10; SM-G973F),/checkout,130,direct,
1014,25,P011,2024-02-12,"3,628.46",USD,delivered,Rua 24 -  Bairro Gomes -  Cidade X,pix,Victor Fernandes,victor.fernandes@exemplo.com,2022-12-30,1965-05-27,MG,(37) 3919-8438,B,14,923d3859-d2f1-4878-978a-8e3ac81f46e9,view,2023-07-23 13:35:21,/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/profile,66,facebook.com,
1015,23,P021,2023-07-30,238.10,USD,pending,Rua 59 -  Bairro Gomes -  Cidade X,paypal,Mariana Oliveira,mariana.oliveira@exemplo.com,2021-11-27,1989-08-06,SP,(62) 5689-9527,C,15,d54419ec-8496-44da-828e-ea15ef903f4a,logout,2023-08-09 16:49:52,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/help,588,instagram.com,
1016,80,P021,2024-05-12,"3,061.50",EUR,pending,Rua 106 -  Bairro Pereira -  Cidade X,credit_card,Igor Ribeiro,igor.ribeiro@exemplo.com,2021-03-27,1972-01-29,RS,(88) 9916-5417,C,16,211784fc-5ab4-43b4-84d7-6e29718eed45,click,2023-05-14 09:58:48,/profile,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),/help,504,direct,
1017,5,P030,2024-01-13,"2,399.53",EUR,pending,Rua 154 -  Bairro Freitas -  Cidade X,credit_card,Natalia Dias,natalia.dias@exemplo.com,2022-10-21,1978-02-11,RS,(33) 8512-6624,D,17,173d3160-c027-4bb9-b601-b838b088f34a,signup,2023-12-19 00:29:30,/search,Mozilla/5.0 (Linux; Android 10; SM-G973F),/product/P001,478,facebook.com,
1018,22,P021,2024-06-22,"2.254,13",BRL,pending,Rua 144 -  Bairro Cardoso -  Cidade X,credit_card,Fernanda Martins,fernanda.martins@exemplo.com,2019-06-28,1981-09-25,RS,(97) 5918-5323,A,18,9d881175-6d51-4409-b0a9-9cd981cf7e50,view,2024-01-03 13:06:43,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/home,65,direct,
1019,82,P010,2023-08-25,"4,566.98",USD,shipped,Rua 99 -  Bairro Lima -  Cidade X,boleto,Eduardo Martins,eduardo.martins@exemplo.com,2019-02-06,1998-10-07,RJ,(62) 9889-9062,D,19,81aec4b8-f7ce-4121-9b41-98da5d02a3bf,purchase,2024-03-29 01:50:50,/profile,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),/product/P001,415,facebook.com,
1020,58,P003,2025-03-03,"2,858.23",EUR,cancelled,Rua 21 -  Bairro Cardoso -  Cidade X,credit_card,Mariana Lima,,2019-03-26,1972-10-09,RJ,(19) 3092-9481,C,20,ff0410ae-ef10-4b05-8950-1b5ae8b69a20,view,2023-05-05 22:02:58,/search,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X),/profile,64,facebook.com,
1021,18,P001,2024-12-23,"2,636.96",EUR,delivered,Rua 117 -  Bairro Mendes -  Cidade X,paypal,Eduardo Pereira,eduardo.pereira@exemplo.com,2023-04-06,1983-08-19,MG,(20) 5864-4860,A,21,13017e6f-f65f-41f9-9cc0-40f2ef76855f,logout,2023-07-28 12:22:44,/home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/home,186,facebook.com,
1022,40,P003,2023-12-21,"3.690,51",BRL,pending,Rua 21 -  Bairro Cardoso -  Cidade X,paypal,Eduardo Barbosa,eduardo.barbosa@exemplo.com,2020-05-31,1965-05-04,RS,(10) 8302-7595,C,22,e480cbe7-5bf8-4c9b-8ffc-94d24a53924e,view,2023-11-15 22:16:09,/profile,Mozilla/5.0 (Windows NT 10.0; Win64; x64),/search,249,direct,
